name,url,image,startDate,endDate,description,description_fr,location,city,region,page,region_abbr
Moondance Jam 2025,https://www.musicfestivalwizard.com/festivals/moondance-jam-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/03/Moondance_Jam_Logo.jpg,2025-07-17,2025-07-19,"What started as a humble gathering of music loving friends in 1992, has grown into one of the premier classic rock festivals in the heart of America. Over the 20 plus years since its inception, Moondance Jam continues today to bring in larger crowds each and every year. Located on a 300-acre fairground in Walker, Minnesota, festival attendees will find tradition seeped into the campgrounds with veteran festival goers coming back each year. ",,Moondance Events,Walker,Minnesota,4,MN
National Cannabis Festival 2025,https://www.musicfestivalwizard.com/festivals/national-cannabis-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/12/National-Cannabis-Festival-Hero.jpg,2025-07-17,2025-07-19,In 2015 a small group of cannabis enthusiasts joined together around the idea to create National Cannabis Festival — an event celebrating progress on marijuana legalization in DC and across the nation. ,,RFK Stadium,Washington,District of Columbia,4,DC
Rock Fest Wisconsin 2025,https://www.musicfestivalwizard.com/festivals/rock-fest-wisconsin-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/11/RockFest_2017_Logo.jpg,2025-07-17,2025-07-19,"There are rock fests and then there is The Rock Fest. Now in its 25th year, Rock Fest in Wisconsin features the very best of active and classic rock names in the history of the genre.  Aerosmith, Iron Maiden, Avenged Sevenfold, Kiss, Motley Crue, Fleetwood Mac, Tom Petty, Kid Rock, Shinedown, Five Finger Death Punch, Rob Zombie, and Korn are just a few of the names to touch down here. And with 7,000 campsites, you know it’s going to be a crazy weekend of rock.  ",,Rock Fest Grounds,Cadott,Wisconsin,4,WI
Secret Dreams Festival 2025,https://www.musicfestivalwizard.com/festivals/secret-dreams-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/10/Vito-Valentinetti-Check-In-Party-2019-66.jpg,2025-07-17,2025-07-19,Secret Dreams is a fresh and immersive weekend festival focusing on both visual and performance art at the esteemed Legend Valley in Ohio. ,,Legend Valley,Thornville,Ohio,4,OH
Soundit Festival 2025,https://www.musicfestivalwizard.com/festivals/soundit-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/12/Soundit-Festival-2025-Lineup-Poster.webp,2025-07-18,2025-07-19,"SoundIT Festival was born with a clear intention, to create a space where you can discover, dance and feel with 5 stages, 2 days, 24 hours of music and more than 60 artists. Let's go! ",,Parc Nou de El Prat de Llobregat,Barcelona, Spain,4,
Summer of 99 And Beyond Festival 2025,https://www.musicfestivalwizard.com/festivals/summer-of-99-and-beyond-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/02/Summer-of-99-and-Beyond-Festival-2025-Lineup-Poster.jpg,2025-07-18,2025-07-19,"It's the first time since 1999 that Creed and Nickelback have shared a stage. So with eyes wide open, head to Wisconsin to party with nu-metal legends of the 90s! ",,Alpine Valley Music Theatre,East Troy,Wisconsin,4,WI
Sun & Thunder Festival 2025,https://www.musicfestivalwizard.com/festivals/sun-thunder-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Sun-and-Thunder-2025-Lineup-Poster.jpg,2025-07-17,2025-07-19,"When heavy rock meets the sunny beaches of Costa del Sol, Sun & Thunder Festival is born! It's a 3-day weekend of top bands in Fuengirola, Spain.",,Marenostrum Fuengirola,Fuengirola, Spain,4,
Super Bock Super Rock 2025,https://www.musicfestivalwizard.com/festivals/super-bock-super-rock-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/12/Super_Bock_Super_Rock_Logo-e1419718580582.jpg,2025-07-17,2025-07-19,"If it's rock and it's Portugal, then it must be Super Bock Super Rock. Entertaining fans since 1994, this is one of the main music events of the summer for Portugal, with a lineup that is well worth the trip for music lovers of any genre.  ",,Parque das Nações,Lisbon, Portugal,4,
Tall Pines Music Festival 2025,https://www.musicfestivalwizard.com/festivals/tall-pines-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Tall-Pines-Logo.jpg,2025-07-18,2025-07-19,"Tall Pines Music & Arts Festival proudly takes place against the stunning backdrop of Lake Muskoka and features Canada’s most celebrated bands, live art installations, a local vendor village, food trucks, kids zone, canoeing, and afterparties.",,Muskoka Wharf,Gravenhurst,Ontario,4,ON
Tsunami Festival 2025,https://www.musicfestivalwizard.com/festivals/tsunami-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/12/Tsunami-Hero.jpg,2025-07-18,2025-07-19,Old punk meets new rock at Tsunami Festival which takes place in Gijón in the north of Spain. ,,Laboral City of Culture,Gijón, Spain,4,
Upheaval Festival 2025,https://www.musicfestivalwizard.com/festivals/upheaval-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Upheaval-Hero.jpg,2025-07-18,2025-07-19,"Upheaval is a two-day rock music festival in Grand Rapids, Michigan during the middle of July. ",,Belknap Park,Grand Rapids,Michigan,4,MI
Vermont Brewers Festival 2025,https://www.musicfestivalwizard.com/festivals/vermont-brewers-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/05/Vermont-Brewers-Festival-Featured-Image.jpg,2025-07-18,2025-07-19,"The Vermont Brewers Festival will be bringing an abundance of quality beer brewers and vendors based in the Green Mountain State together for 2 days this July. There will be three tasting sessions spread out over two separate days from breweries that put Vermont on the craft map, to a new generation of taprooms, there will be something for every beer enthusiast at this festival!",,Burlington Waterfront Park,Burlington,Vermont,4,VT
Amphi Festival 2025,https://www.musicfestivalwizard.com/festivals/amphi-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/10/Amphi-Editorial.jpg,2025-07-19,2025-07-20,Cologne's sublime goth and industrial festival. Amphi is where the dark music world meets!,,Tanzbrunnen,Cologne, Germany,4,
Atlas Weekend 2025,https://www.musicfestivalwizard.com/festivals/atlas-weekend-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/10/Atlas_Weekend_Editorial.png,2025-07-18,2025-07-20,"When it comes to major music festivals in Ukraine, it doesn't get any bigger than Atlas Weekend. For five nights, the Kyiv Expocenter is filled with a capacity crowd to hear rock, indie, hip hop, and EDM from around the world.  ",,Blockbuster Mall,Kyiv, Ukraine,5,
Big Love Festival 2025,https://www.musicfestivalwizard.com/festivals/big-love-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/09/Vito-Valentinetti-2015-Amsterdam-Woods-17.jpg,2025-07-17,2025-07-20,"Big Love is a 3-day music and arts festival set in the stunning South Wales countryside. Festival goers can enjoy 130 live acts and DJs, plus circus performances, creative workshops, comedy and art installations.",,Cwm Cayo Farm,Monmouthsire, Wales,5,
Country Thunder Wisconsin 2025,https://www.musicfestivalwizard.com/festivals/country-thunder-wisconsin-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/06/Country_Thunder_Logo.jpg,2025-07-17,2025-07-20,"Grab a cowboy hat, an RV or tent if you want to camp and come and enjoy the worlds premier country acts with the camaraderie of over 100,000 fans!",,Twin Lakes,Twin Lakes,Wisconsin,5,WI
Deichbrand Festival 2025,https://www.musicfestivalwizard.com/festivals/deichbrand-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/11/Deichbrand_Festival_Logo.png,2025-07-17,2025-07-20,"When it started back in 2005, the Deichbrand Festival sold 500 tickets. Last year, the attendance at the festival hit 60,000 festies all there to catch a mix of metal, indie-rock, hip-hop, and pop. This camping festival takes place at the Cuxhaven/Nordholz sea airport in the north of Germany. ",,Sea-Airport Cuxhaven/Nordholz,Wurster Nordseeküste, Germany,5,
Dour Festival 2025,https://www.musicfestivalwizard.com/festivals/dour-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/11/Dour_Logo.jpg,2025-07-16,2025-07-20,"The multi-genre Dour Festival has been tearing up the Belgian countryside since 1989. It may have started as a single day event with a few thousand folks, but now the five day mega-festival sees 225,000 attendees, and hundreds of artists. The mix of music includes everything from mainstream rock to electronic to pop. ",,Plaine de la Machine à Feu,Dour, Belgium,5,
Electric Castle Festival 2025,https://www.musicfestivalwizard.com/festivals/electric-castle-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/10/Electric_Castle_Logo-e1479909302730.jpg,2025-07-16,2025-07-20,"In just a few years years, Electric Castle has already become one of Romania’s most successful fests. Held under the shadow of the five century old Banffy Castle and surrounded by the rolling green hills of the Romanian countryside, EC still maintains the semblance of a much smaller fest. The lineup is designed to please, with artists performing mainstream EDM, hip-hop, reggae, drum & bass, metal, and indie rock. -100 Nights of Summer",,Bánffy Castle,Bontida, Romania,5,
Folk by the Oak 2025,https://www.musicfestivalwizard.com/festivals/folk-by-the-oak-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/12/Folk-by-the-Oak-Hero-Pic-Editorial-scaled.jpg,2025-07-20,2025-07-20,"This 1-day festival features some of the finest folk, roots and acoustic music in the UK. This uplifting festival is one to be enjoyed by the whole family. ",,Hatfield Park,Hertfordshire,United Kingdom,5,UK
Grassroots Finger Lakes Festival 2025,https://www.musicfestivalwizard.com/festivals/grassroots-finger-lakes-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Grassroots-Festival-2025-Lineup-Poster.jpg,2025-07-17,2025-07-20,"The GrassRoots Festival, held in late July, takes place in the scenic Finger Lakes region of New York. The non-profit brings in 80+ bands for four days of music and camping. ",,Trumansburg Fairgrounds,Trumansburg,New York,5,NY
Great Jones County Fair 2025,https://www.musicfestivalwizard.com/festivals/great-jones-county-fair-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/05/Great-Jones-County-Fair-Featured-Image.jpg,2025-07-16,2025-07-20,"This event draws audiences from far and wide and has been going on for over 170 years! There's live music, craft beer tents, fun and plenty attractions for the whole family. ",,Great Jones County Fairgrounds,Monticello,Iowa,5,IA
Grey Fox Bluegrass Festival 2025,https://www.musicfestivalwizard.com/festivals/grey-fox-bluegrass-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/07/Grey-Fox-Hero.jpg,2025-07-16,2025-07-20,It's a weekend of bluegrass and camping in upstate New York! ,,The Walsh Farm,Oak Hill,New York,5,NY
Hillside Festival 2025,https://www.musicfestivalwizard.com/festivals/hillside-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/03/Hillside_Logo.jpg,2025-07-18,2025-07-20,An eco-friendly festival of music and community for 40 years!,,Guelph Lake Island,Guelph,Ontario,5,ON
Ilosaarirock Festival 2025,https://www.musicfestivalwizard.com/festivals/ilosaarirock-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2012/02/Ilosaarirock_Logo.jpg,2025-07-18,2025-07-20,"Ilosaarirock, known locally as the best weekend of the summer, takes place in Joensuu from the 12th to the 14th of July, 2019. The festival is held at a scenic lakeside location, and is within walking distance from the city center.",,Laulurinne,Joensuu, Finland,5,
Inkcarceration Festival 2025,https://www.musicfestivalwizard.com/festivals/inkcarceration-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2020/06/Inkcarceration-Logo.jpg,2025-07-18,2025-07-20,"One of the most unique rock festivals in the country, INKCARCERATION is truly a festival to be experienced. Featuring some of the top names in rock, alternative and metal music on outdoor stages along with tattoo artists from all over the country, Reformatory tours, gourmet food, camping, and lots more.",,Ohio State Reformatory,Mansfield,Ohio,5,OH
Les Vieilles Charrues 2025,https://www.musicfestivalwizard.com/festivals/les-vieilles-charrues-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/01/Vieilles_Charrues_Logo.jpg,2025-07-17,2025-07-20,"It's France biggest music festival of the summer! Translated to old plows, Les Vieilles Charrues is a 4-day indie rock and pop festival held in the northwest of France. What started as a 500 person party has exploded into the largest music fest in France with 280,000 revelers along with an incredible 5,500 volunteers in 2017.  ",,Les Vieilles Charrues,Carhaix, France ,5,
Lollapalooza Paris 2025,https://www.musicfestivalwizard.com/festivals/lollapalooza-paris-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/10/Lollapalooza_Logo.jpg,2025-07-18,2025-07-20,"Since its inception in 1991, Lollapalooza has continued to grow from its U.S. based festival circuit to additional cities in countries across the globe. In 2016, Lollapalooza was introduced to Paris and continues to host a myriad of different international and local acts spanning all genres. ",,Longchamp Racecourse,Paris, France,5,
Mares Vivas 2025,https://www.musicfestivalwizard.com/festivals/mares-vivas-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/12/meo-mares-vivas-e1482254044243.jpg,2025-07-18,2025-07-20,"Loosely translated into 'seas alive', the annual Mares Vivas Festival is held in Vila Nova de Gaia each July. Elton John, Bush, The Smashing Pumpkins, Bill Idol, The Cult, and The Hives have all performed at Mares Vivas. ",,Vila Nova de Gaia,Praia do Cabedelo, Portugal,5,
Miche Fest 2025,https://www.musicfestivalwizard.com/festivals/miche-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Miche-Fest-2025-Lineup-Poster.jpg,2025-07-19,2025-07-20,Chicago’s Latino Festival takes place at Oakwood Beach in Chicago. ,,Oakwood Beach,Chicago,Illinois,5,IL
Minnesota Yacht Club Festival 2025,https://www.musicfestivalwizard.com/festivals/minnesota-yacht-club-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/09/Minnesota-Yacht-Club-Logo.jpg,2025-07-18,2025-07-20,"The Minnesota Yacht Club festival will bring fans together for two days of performances across two stages with no overlapping sets along the Mississippi river bank. Fans can enjoy historic riverboat rides, comfortable lounges, exclusive food options, air-conditioned restrooms, and more.",,Harriet Island Regional Park,Saint Paul,Minnesota,5,MN
Northern Nights 2025,https://www.musicfestivalwizard.com/festivals/northern-nights-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/04/Northern_Nights_Logo.jpg,2025-07-18,2025-07-20,"Connecting music and nature, Northern Nights Music Festival is one of the most sought after events held at Cook’s Valley Campground in Northern California. Promoted as a music and arts, camping, yoga and cannabis retreat, the festival features a varied lineup of primarily electronic artists. Still a small festival by industry standards, Northern Nights tops out at 6,000 attendees. The selective attendee limit and festival grounds play a large role in Northern Nights success. The campgrounds are home to swimming holes and the largest Redwood grove in the nation where camping is allowed.",,Cook’s Valley Campground,Piercy,California,5,CA
Nozstock The Hidden Valley 2025,https://www.musicfestivalwizard.com/festivals/nozstock-the-hidden-valley-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/02/Nozstock_Logo.png,2025-07-17,2025-07-20,"Tucked away in the rolling hills of Herfordshire, Nozstock The Hidden Valley, is a delightful boutique festival in the UK. The weekend odyssey makes its home on a beautiful working farm filled with eccentric festies, winding forest paths, and relaxed campgrounds. Come prepared for a lineup of pop, ska, folk, funk, soul, indie, house, and a whole lot more, along with a fresh festival theme each year.  ",,Rowden Paddocks,Herefordshire,United Kingdom,6,UK
OK Fest 2025,https://www.musicfestivalwizard.com/festivals/ok-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/05/OK-Fest-Hero-scaled.jpg,2025-07-18,2025-07-20,"OK Fest is a one of kind experience in The Balkans. Spend your days hiking, rafting, and camping in Europe's only preserved rainforest while bumping to the music all night. ",,Tjentiste,Tjentiste, Bosnia & Herzegovina,6,
ParookaVille 2025,https://www.musicfestivalwizard.com/festivals/parookaville-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/03/ParookaVille_Logo.jpg,2025-07-18,2025-07-20,"'Parookaville is a city that comes to life once a year to keep the legend of Bill Parooka alive. It was built as an artistic, free flowing and mad musical place where people can make contact with their pure selves, experience true connections and feel deep sensation of bliss and fulfillment. Step into the dark if you dare, follow your inner light and dive into a spectacular world of freedom and love!'",,Weeze Airport,Weeze, Germany,6,
Punk in the Park Denver 2025,https://www.musicfestivalwizard.com/festivals/punk-in-the-park-denver-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/01/Punk-in-the-Park-Featured-Image.jpg,2025-07-18,2025-07-20,Punk the Park hits the road this summer! ,,National Western Stockyards,Denver,Colorado,6,CO
Rockland Fest 2025,https://www.musicfestivalwizard.com/festivals/rockland-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Rockland-Fest-2025-Lineup-Poster.jpg,2025-07-18,2025-07-20,Rockland Art Fest in Santo Domingo de la Calzada will take over the streets of Riojan with live music and a rocking summer event for 3 days.,,Athletics tracks,Santo Domingo de la Calzada, Spain,6,
Sea You Festival 2025,https://www.musicfestivalwizard.com/festivals/sea-you-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/12/Sea_You_Festival_Logo.jpg,2025-07-18,2025-07-20,There's more to Sea You than just two full days with more than a 100 artists playing on 7 stages. There's chilling on the water with views of the Black Forest. There's free wake-boarding. There's dancing in and on the water. It's Germany's largest beach club and you're invited. ,,Tunisee,Freiburg, Germany,6,
Splendour Festival 2025,https://www.musicfestivalwizard.com/festivals/splendour-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/02/Splendour-Festival-FI.jpg,2025-07-19,2025-07-20,"Splendour Festival is Nottinghamshire’s biggest festival. Set in the beautiful surroundings of Wollaton Hall & Deer Park, attendees can enjoy 5 stages of music that spans all genres; from fast-rising stars to world-class performers, and musical icons, Splendour line-ups are always a wonderful mix of acts that can be enjoyed by the whole family. Alongside the music, you can expect comedy, a funfair, a silent disco, independent market stalls, an array of gourmet food and drink, a dedicated kids’ area, and fringe activities. Mark it in your diaries, Splendour will be your favourite day of the summer.",,Wollaton Hall & Deer Park,Nottingham,United Kingdom,6,UK
The Beat-Herder Festival 2025,https://www.musicfestivalwizard.com/festivals/the-beat-herder-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/04/Beat_Herder_Logo_.jpg,2025-07-17,2025-07-20,"Back in 2006, the Beat-Herder Festival saw 1200 festies. Since then it has grown to a colossal creation of 16 additional areas for music, 14 bars, fairgrounds, 40+ stalls, and thousands upon thousands of devoted fans. 'Built on unconditional love and the tireless efforts of many,' Beat-Herder prides itself on the magical atmosphere. ",,Dockber Farm,Ribble Valley,United Kingdom,6,UK
Timescape Festival 2025,https://www.musicfestivalwizard.com/festivals/timescape-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Timescape-Festival-Featured-Image.jpg,2025-07-18,2025-07-20,"Timescape Festival is one of the UK's premier electronic music events blending past, present & future sounds for an unforgettable journey.",,,Cambridgeshire,United Kingdom,6,UK
Under the Big Sky Fest 2025,https://www.musicfestivalwizard.com/festivals/under-the-big-sky-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/02/Under_the_Big_Sky_Fest.png,2025-07-18,2025-07-20,"'Under The Big Sky will showcase the very best in Americana, folk, alt-country and rock across two beautiful stages in the heart of one of America’s most unspoiled and pristine regions of natural wilderness. The festival pairs cutting edge emerging voices and talents with musical icons, creating a unique showcase for the diverse strains of American music today.' ",,Big Mountain Ranch,Whitefish,Montana,6,MT
Vancouver Folk Festival 2025,https://www.musicfestivalwizard.com/festivals/vancouver-folk-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/05/Vancouver_Folk_Festival_Logo.jpg,2025-07-18,2025-07-20,"'The Vancouver Folk Music Festival is a Canadian cultural institution. It is a unique community-based celebration internationally renowned for presenting the finest traditional and contemporary folk and roots music from around the world...Two and even three generations of families join friends and fellow community members to experience the music and culture of more than 40 international, national, and local acts.'",,Jericho Beach Park,Vancouver,British Columbia,6,BC
Winter Park Jazz Festival 2025,https://www.musicfestivalwizard.com/festivals/winter-park-jazz-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/01/Winter-Park-Jazz-Festival-HP.jpg,2025-07-19,2025-07-20,Calling all jazz music lovers. The 40+ year old Winter Park Jazz Festival is a wonderful excuse to head deep into the Rockies of Colorado for a weekend of beautiful music and mountains. ,,Rendezvous Event Center,Winter Park, Colorado,6,
Zwarte Cross 2025,https://www.musicfestivalwizard.com/festivals/zwarte-cross-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/10/Vito-Valentinetti-Copenhell-2018-46.jpg,2025-07-17,2025-07-20,"The Black Cross is a festival with a bizarre mix of motocross, music, stunts, theater, humor and a lot of craziness and spectacle in Lichtenvoorde, Holland.",,The Achterhoek,Lichtenvoorde, Netherlands,6,
Terminal V Croatia 2025,https://www.musicfestivalwizard.com/festivals/terminal-v-croatia-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/10/Defected-Croatia-2017-16.jpg,2025-07-17,2025-07-21,Terminal V is taking a summer holiday outdoors to the sunny beaches of Croatia.,,The Garden,Tisno, Croatia,6,
Boom Festival 2025,https://www.musicfestivalwizard.com/festivals/boom-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/08/Boom_Logo.jpg,2025-07-17,2025-07-24,"The closest experience that Europe has to the American Burning Man, this psychedelic festival in Portugal fosters a rabid fan base. With a venue perched on a lush meadowside lake, Boom is a biennial festival which means diehards have two years to feed their stoke.",,Idanha-A-Nova,Idanha-A-Nova, Portugal,6,
Midsummer Vilnius 2025,https://www.musicfestivalwizard.com/festivals/midsummer-vilnius-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/04/Midsummer-Vilnius-Hero-Pic-Editorial.jpg,2025-07-14,2025-07-25,"Since 2016,  this festival has been growing in size and creativity. This festival is unique because it brings the central Courtyard of the Palace of the Grand Dukes to life every year in midsummer and has established itself in the cultural life of the capital. ",,Courtyard of the Palace of the Grand Dukes,Vilnius, Lithuania,6,
ARTMania 2025,https://www.musicfestivalwizard.com/festivals/artmania-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/08/Artmania-Hero.jpg,2025-07-25,2025-07-26,"ARTMania is a major rock event in Transylvania, the event showcases a unique combination of quality music & cultural events, held in the spectacular city center of Sibiu.",,Sibiu,Sibiu, Romania,6,
B.my.Lake 2025,https://www.musicfestivalwizard.com/festivals/b-my-lake-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/BMyLake-2025-Lineup-Poster.jpg,2025-07-24,2025-07-26,"Hungary may be a land-locked country, but you wouldn't know it once you've stepped onto the shores of Balaton Lake. The summertime party reaches its climax with the annual B.my.Lake Festival which brings four days of wall to wall electronic music to the tranquil waters. ",,Északi Strand,Velence, Hungary,6,
Blue Reef Festival 2025,https://www.musicfestivalwizard.com/festivals/blue-reef-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/12/Blue-Reef-Festival-Featured-Image.jpg,2025-07-25,2025-07-26,"The Blue Reef Festival brings an eclectic line up across five unique stages. The 2-day family-friendly festival will feature chart-topping bands alongside up and coming acts, food, drinks and lots of culture. ",,Loddington Farm,Kent,United Kingdom,6,UK
Brewsology Beer Fest LA 2025,https://www.musicfestivalwizard.com/festivals/brewsology-beer-fest-la-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/06/Brewsology-Beer-Fest-Featured-Image.jpg,2025-07-26,2025-07-26,"'The Brewsology Beer Fest is the boozy hybrid of your middle school museum field trip. Taking over the California Science Center after hours, the event will feature dozens of local craft breweries and cideries and will give attendees access throughout the museum including exhibits, science demonstrations and access to brewery reps.'",,California Science Center,Los Angeles,California,6,CA
Depot In The Castle 2025,https://www.musicfestivalwizard.com/festivals/depot-in-the-castle-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/02/Depot-in-the-Castle-2025-Lineup-Poster.jpg,2025-07-26,2025-07-26,"Get ready for an unforgettable experience with world-renowned headliners, engaging activities, mouth-watering street food, and a wide variety of refreshing drinks. ",,Cardiff Castle,Cardiff, Wales,7,
Flood City Festival 2025,https://www.musicfestivalwizard.com/festivals/flood-city-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/10/Flood_City_Logo.jpg,2025-07-25,2025-07-26,"The AmeriServ Flood City Music Festival is a two-day celebration of American roots music attracting thousands of enthusiastic music fans to Johnstown, Pennsylvania every summer. The festival is typically held the first weekend in August.",,Peoples Natural Gas Park,Johnstown,Pennsylvania,7,PA
Gambler’s Run Music Festival 2025,https://www.musicfestivalwizard.com/festivals/gamblers-run-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/02/Gamblers-Run-Logo.jpg,2025-07-24,2025-07-26,"Gambler's Run Music Festival will feature 3 days of music, mountains, gambling and more. Situated in North Lake Tahoe, the Crystal Bay Casino is a staple in Live Entertainment venues. ",,Crystal Bay Casino,Crystal Bay,Nevada,7,NV
Headwaters Country Jam 2025,https://www.musicfestivalwizard.com/festivals/headwaters-country-jam-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/08/Headwaters-Hero.png,2025-07-24,2025-07-26,"Headwaters is a three-day country music festival featuring 20+ bands on two stages, surrounded by Montana’s awe-inspiring landscape.",,The Bridge,Three Forks,Montana,7,MT
Lazydays Festival 2025,https://www.musicfestivalwizard.com/festivals/lazydays-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/02/Lazydays-2025-Lineup-Poster-2.jpg,2025-07-25,2025-07-26,,,Priory Park,Southend-on-Sea,United Kingdom,7,UK
Milkshake Festival Amsterdam 2025,https://www.musicfestivalwizard.com/festivals/milkshake-festival-amsterdam-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/10/Milkshake-Logo.jpg,2025-07-26,2025-07-26,"It's all about love and respect at the annual Milkshake Festival in Amsterdam. The dance heavy rave utopia states that 'life is just a party thanks to the great diversity of skin colors, religions, sexual preferences and male and female forms.' ",,Westerpark,Amsterdam, Netherlands,7,
Monegros Desert Festival 2025,https://www.musicfestivalwizard.com/festivals/monegros-desert-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/09/Monegros-Desert-Festival-Hero-Picture.jpg,2025-07-26,2025-07-26,"'The biggest electronic music festival, the biggest rave in Spain. A lot of terms are used in an attempt to describe this festival, however it is literally impossible to put in plain words if you have not had the chance to attend it.' ",,Monegros Desert,Fraga, Spain,7,
Night in the Country Nevada 2025,https://www.musicfestivalwizard.com/festivals/night-in-the-country-nevada-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/01/Night-in-the-Country-Hero.jpg,2025-07-24,2025-07-26,"Away from the big city lights, Night in the Country experience transforms the quiet farming town of Yerington, Nevada into one of the largest camping parties in the world.",,Yerlington Festival Grounds,Yerington,Nevada,7,NV
Petaluma Music Festival 2025,https://www.musicfestivalwizard.com/festivals/petaluma-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/01/Petaluma-Logo.jpg,2025-07-26,2025-07-26,Keeping music in the schools. This festival donates it's proceeds to all Petaluma public schools.,,Sonoma-Marin Fairgrounds,Petaluma,California,7,CA
Post. Festival 2025,https://www.musicfestivalwizard.com/festivals/post-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/09/Post-Festival-Logo.jpg,2025-07-24,2025-07-26,"Post. Festival is set on establishing the finest assemblage of niche rock artists to take place on American soil. Following the examples set by like-minded European events, the Post. Festival is as much about community and respect and support as it is about music and culture. It is a celebration both for fans and artists, an opportunity to come together and revel in a scene.",,HI-FI Indy & HI-FI Annex,Indianapolis,Indiana,7,IN
Reggae on the Mountain 2025,https://www.musicfestivalwizard.com/festivals/reggae-on-the-mountain-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/08/Reggae-On-The-Mountain-2025.jpg,2025-07-26,2025-07-26,It's southern California's premier homegrown reggae festival. Enjoy this summertime day festival in the sunny region of Los Angeles. ,,Topanga Community Club,Topanga,California,7,CA
